
/testcases/cor-api/openapi.json
  37:13    error  missing-landing-page                     There does not exist a resource `/` that should resolve to the landing-page                                             paths
  70:35  warning  use-problem-schema                       The content type of an error response should be application/problem+json or application/problem+xml to match RFC 9457.  paths./heartbeat.get.responses[429].content
  80:35  warning  use-problem-schema                       The content type of an error response should be application/problem+json or application/problem+xml to match RFC 9457.  paths./heartbeat.get.responses[503].content
 154:35    error  paths-open-api-json-specify-cors-header  The response of the `/openapi.json` resource should set the `access-control-allow-origin` header with value `*`         paths./openapi.json.get.responses[200].headers
 181:29  warning  paths-kebab-case                         /laatsteWijziging is not kebab-case.                                                                                    paths./laatsteWijziging
 211:35  warning  use-problem-schema                       The content type of an error response should be application/problem+json or application/problem+xml to match RFC 9457.  paths./laatsteWijziging.get.responses[400].content
 221:35  warning  use-problem-schema                       The content type of an error response should be application/problem+json or application/problem+xml to match RFC 9457.  paths./laatsteWijziging.get.responses[404].content
 231:35  warning  use-problem-schema                       The content type of an error response should be application/problem+json or application/problem+xml to match RFC 9457.  paths./laatsteWijziging.get.responses[405].content
 241:35  warning  use-problem-schema                       The content type of an error response should be application/problem+json or application/problem+xml to match RFC 9457.  paths./laatsteWijziging.get.responses[406].content
 251:35  warning  use-problem-schema                       The content type of an error response should be application/problem+json or application/problem+xml to match RFC 9457.  paths./laatsteWijziging.get.responses[429].content
 261:35  warning  use-problem-schema                       The content type of an error response should be application/problem+json or application/problem+xml to match RFC 9457.  paths./laatsteWijziging.get.responses[500].content
 271:35  warning  use-problem-schema                       The content type of an error response should be application/problem+json or application/problem+xml to match RFC 9457.  paths./laatsteWijziging.get.responses[503].content
 506:35  warning  use-problem-schema                       The content type of an error response should be application/problem+json or application/problem+xml to match RFC 9457.  paths./organisaties.get.responses[400].content
 516:35  warning  use-problem-schema                       The content type of an error response should be application/problem+json or application/problem+xml to match RFC 9457.  paths./organisaties.get.responses[404].content
 526:35  warning  use-problem-schema                       The content type of an error response should be application/problem+json or application/problem+xml to match RFC 9457.  paths./organisaties.get.responses[405].content
 536:35  warning  use-problem-schema                       The content type of an error response should be application/problem+json or application/problem+xml to match RFC 9457.  paths./organisaties.get.responses[406].content
 546:35  warning  use-problem-schema                       The content type of an error response should be application/problem+json or application/problem+xml to match RFC 9457.  paths./organisaties.get.responses[429].content
 556:35  warning  use-problem-schema                       The content type of an error response should be application/problem+json or application/problem+xml to match RFC 9457.  paths./organisaties.get.responses[500].content
 566:35  warning  use-problem-schema                       The content type of an error response should be application/problem+json or application/problem+xml to match RFC 9457.  paths./organisaties.get.responses[503].content
 684:35  warning  use-problem-schema                       The content type of an error response should be application/problem+json or application/problem+xml to match RFC 9457.  paths./organisaties/{oin}.get.responses[400].content
 694:35  warning  use-problem-schema                       The content type of an error response should be application/problem+json or application/problem+xml to match RFC 9457.  paths./organisaties/{oin}.get.responses[404].content
 704:35  warning  use-problem-schema                       The content type of an error response should be application/problem+json or application/problem+xml to match RFC 9457.  paths./organisaties/{oin}.get.responses[405].content
 714:35  warning  use-problem-schema                       The content type of an error response should be application/problem+json or application/problem+xml to match RFC 9457.  paths./organisaties/{oin}.get.responses[406].content
 724:35  warning  use-problem-schema                       The content type of an error response should be application/problem+json or application/problem+xml to match RFC 9457.  paths./organisaties/{oin}.get.responses[429].content
 734:35  warning  use-problem-schema                       The content type of an error response should be application/problem+json or application/problem+xml to match RFC 9457.  paths./organisaties/{oin}.get.responses[500].content
 744:35  warning  use-problem-schema                       The content type of an error response should be application/problem+json or application/problem+xml to match RFC 9457.  paths./organisaties/{oin}.get.responses[503].content

✖ 26 problems (2 errors, 24 warnings, 0 infos, 0 hints)
